ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
4681,15485880,99434002,2,1,63,269,68595,255,2,14,29,137,274,33,5,32,2.34,4.9,4.9,4.9,5,5,4.8,4.8
4682,15495132,9293730,5,30,1125,189,22680,120,0,30,60,335,29,2,0,2,0.26,4.7,4.7,4.6,4.8,4.9,4.2,4.4
4683,15496616,95459395,3,30,1125,414.2,0,0,5,35,65,340,3,0,0,0,0.05,5,4.3,5,4.3,5,5,4.3
4684,15500460,72596124,2,30,1125,,,0,0,0,0,0,260,0,0,0,2.21,4.9,5,4.8,5,5,4.9,4.9
4685,15506009,6218023,6,30,1125,257.94,0,0,30,60,90,365,6,0,0,0,0.05,4.8,5,5,5,5,5,4.8
4686,15507375,32052000,4,30,180,69.03,12425,180,5,30,48,244,146,3,0,3,1.25,4.8,4.8,4.8,4.9,4.9,4.7,4.8
4687,15517104,1486872,2,5,50,296.8,45707,154,11,11,11,11,162,12,0,19,1.38,5,5,5,4.9,5,4.9,4.8
4688,15522627,90771408,1,3,180,150.33,30818,205,3,10,12,245,105,16,3,17,0.89,4.8,4.8,4.7,4.9,4.9,4.9,4.8
4689,15527416,99804239,2,30,150,73.57,0,0,27,57,87,362,178,0,0,0,1.52,4.8,4.9,4.7,4.9,5,4.9,4.9
4690,15543090,99392252,2,30,1124,,,0,0,0,0,0,181,0,0,0,1.54,4.6,4.8,4.6,4.9,4.9,4.5,4.7
4691,15549056,53301314,2,30,1125,,,0,0,0,0,0,169,0,0,0,1.51,4.9,4.9,4.9,5,5,4.6,4.8
4692,15552901,84562269,2,30,30,,,0,0,0,0,0,4,0,0,0,0.04,5,4.8,5,5,5,4.8,4.8
4693,15576821,55948559,1,30,1125,52.73,9491,180,0,20,49,228,229,3,0,2,2.08,4.9,4.9,4.9,4.9,4.9,4.8,4.9
4694,15581948,66602200,2,1,1125,214,54570,255,4,12,20,186,403,39,2,44,3.43,4.9,4.9,5,5,5,5,4.9
4695,15583957,51501835,3,30,365,182.53,32855,180,0,0,12,287,11,3,0,1,0.11,3.9,4.4,4.3,4.3,3.8,4.6,4
4696,15596539,1427352,2,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,5,5,5,5,5,5,4
4697,15597600,1781401,2,30,60,128.32,23098,180,2,20,31,69,125,3,0,5,1.13,4.9,5,4.9,5,5,4.7,4.8
4698,15603347,515095,2,30,1125,171.1,0,0,29,59,89,269,126,0,0,0,1.08,4.7,4.9,4.7,4.9,4.9,4.9,4.7
